,regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
0,Nordrhein_Westfalen,245.0,central_heating,ONE_YEAR_FREE,,False,False,6,4.62,10.0,840.0,1965.0,96107057,1.0,oil,False,Nordrhein_Westfalen,True,2.0,595.0,244,86.0,Dortmund,well_kept,normal,,Sch&uuml;ruferstra&szlig;e,Schüruferstraße,False,4,ground_floor,44269,4.0,181.4,1.0,3.0,4,True,4,Dortmund,Schüren,Die ebenerdig zu erreichende Erdgeschosswohnung befindet sich in einem gepflegten 8-Familienhaus. Aufgrund der Hanglage bietet sich ein unverbaubarer Blick ins Grüne.,"Die Wohnung ist mit Laminat ausgelegt. Das Badezimmer ist gefliest und verfügt über eine Wannendusche. Neue weiße Zimmertüren, ein Fliesenspiegel in der Küche und Fußleisten wurden kürzlich eingebaut.
Zur Wohnung gehört ein 10 m großer Keller. Eine Garage kann optional mitgemietet werden.",,,,,,May19
1,Rheinland_Pfalz,134.0,self_contained_central_heating,ONE_YEAR_FREE,,False,True,8,3.47,10.0,,1871.0,111378734,2.0,gas,False,Rheinland_Pfalz,False,1.0,800.0,,89.0,Rhein_Pfalz_Kreis,refurbished,normal,no,no_information,,False,5,ground_floor,67459,3.0,,,,3,False,4,Rhein_Pfalz_Kreis,Böhl_Iggelheim,"Alles neu macht der Mai – so kann es auch für Sie in 2019 sein! Genießen Sie das „reine“ Gefühl und die „Unberührtheit“, die diese Wohnung nach der Kernsanierung bietet.

Sie verfügt über eine Wohnfläche von ca. 89 m² und einen äußerst gelungenen Grundriss.

Aufgeteilt ist die Wohnung in einen großzügigen Wohn-Essbereich, eine Küche, ein Schlafzimmer, ein Kinder- oder Arbeitszimmer, ein Bad, ein Gäste-WC und einen Flur.

Von der Küche aus haben Sie direkten Zugang zum Balkon, der zum gemütlichen Verweilen und Entspannen einlädt.

Das Badezimmer ist ausgestattet mit Dusche, Toilette, Waschbecken und praktischem Handtuchheizkörper. Zudem gibt es hier jeweils einen Anschluss für die Waschmaschine und für den Trockner.

Sämtliche Räume in der Wohnung sind lichtdurchflutet, freundlich und einladend, verstärkt durch die weißen, doppelt verglasten Alufenster und die weißen Wände. 

Die Böden sind mit pflegeleichtem Vinyl-Boden und Fliesen ausgelegt und somit auch für Allergiker geeignet.

Beheizt wird die Wohnung mittels einer neuen, energieeffizienten Gas-Etagenheizung der Firma Vaillant. 

Im Keller steht allen Mietern ein gemeinschaftlicher Raum zur Verfügung, der für zusätzlichen Stauraum sorgt.

Abgerundet wird dieses tolle Angebot durch 2 Stellplätze, auf dem Sie Ihre Fahrzeuge stets sicher und ohne Parkplatzsuche parken können.


Wir werden uns bemühen Ihre Anfrage so rasch als möglich zu beantworten, bitte haben Sie jedoch Verständnis, wenn dies 1-2 Werktage in Anspruch nehmen kann!",,,,2019.0,,,May19
2,Sachsen,255.0,floor_heating,ONE_YEAR_FREE,10.0,True,True,8,2.72,2.4,1300.0,2019.0,113147523,1.0,,False,Sachsen,True,9.0,965.0,4,83.8,Dresden,first_time_use,sophisticated,,Turnerweg,Turnerweg,True,6,apartment,1097,3.0,,3.0,4.0,3,False,4,Dresden,Äußere_Neustadt_Antonstadt,"Der Neubau entsteht im Herzen der Dresdner Neustadt.
Das Baugrundstück befindet sich inmitten einer sehr gefragten Lage.
Nicht nur die zentrale Lage und die schnelle öffentliche
Verkehrsanbindung durch den zu Fuß erreichbaren Bahnhof, wie auch Nahverkehrsanbindung, sondern auch die Architektur werden diesen
Neubaukomplex zu einem weiteren Highlight am Dresdner Wohnungsmarkt machen.
Hier entstehen 2- bis 4-Raum Wohnungen mit Wohnflächen zwischen 43 m² und 124 m². Jede Wohnung verfügt über eine Terrasse oder einen Balkon, die Erdgeschosswohnungen erhalten zusätzlich einen Gartenanteil. Die Räumlichkeiten bieten großzügig durchdachte, lichtdurchflutete Räume mit effektiv geschnittenen Grundrissen.","* 9 m² Balkon
* Bad mit bodengleicher Dusche, Badewanne und Fenster
* Gäste-WC
* Waschmaschinenanschluss im Bad und im Waschkeller
* Abstell
* Fußbodenheizung
* Fliesen & Echtholzparkett
* elektrische Rollläden
* Videotürsprechanlage mit Farbdisplay
* Aufzug
* KfW-Effizienshaus 55
* Tiefgaragenstellplatz (Miete bereits in der Gesamtmiete enthalten)

~ Der Mietbeginn: ca. Anfang 2020
~ Baustelle: Betreten verboten! Besichtigungen noch nicht möglich!",,,,,,Oct19
3,Sachsen,58.15,district_heating,ONE_YEAR_FREE,,False,True,9,1.53,40.0,,1964.0,108890903,,district_heating,False,Sachsen,False,2.0,343.0,35,58.15,Mittelsachsen_Kreis,,,,Gl&uuml;ck-Auf-Stra&szlig;e,Glück-Auf-Straße,False,2,other,9599,3.0,86.0,3.0,,3,False,2,Mittelsachsen_Kreis,Freiberg,"Abseits von Lärm und Abgasen in Ihre neue Wohnung
Ohne Stress, ohne Sorgen, schlüsselfertig einziehen.
Das muss kein Traum bleiben.",,87.23,,,,,May19
4,Bremen,138.0,self_contained_central_heating,,,False,True,19,2.46,,903.0,1950.0,114751222,,gas,False,Bremen,False,1.0,765.0,10,84.97,Bremen,refurbished,,,Hermann-Henrich-Meier-Allee,Hermann-Henrich-Meier-Allee,False,5,apartment,28213,3.0,188.9,1.0,,3,False,4,Bremen,Neu_Schwachhausen,"Es handelt sich hier um ein saniertes Mehrfamilienhaus aus dem Jahr 1950. 

","Diese Wohnung wurde neu saniert und ist wie folgt ausgestattet:
- 3 geräumige Zimmer
- Wohnzimmer mit optisch getrenntem Ess-,od. Arbeitsbereich
- hochwertiger Vinylbodenbelag in allen Wohnräumen sowie im Flur
- große Terrasse, hofseitig und mit Blick ins Grüne
- Terrasse mit Markise , elektisch Bedienbar
- neu und modern geflieste Küche mit Zugang zur Terrasse
- kleine Speisekammer
- neu und modern gefliestes Badezimmer mit Badewanne incl. Duschtrennwand
Je nach Kapazität steht dem Mieter ein Keller zur Verfügung. 
Eine Garage kann optional angemietet werden.
",,,,,,Feb20
